,student class,gender,grade before exam,grade after exam
0,Control,Male,5.571753484782893,9.053415756616099
1,Control,Male,2.2891146796030357,2.076358611963245
2,Control,Male,1.8148116285136249,2.924894127924248
3,Control,Male,4.41051815266313,5.200101530724835
4,Control,Male,5.755751758284505,9.019113726606706
5,Control,Male,3.3848516809956877,9.836308849117232
6,Control,Male,7.846113587076924,2.575420641540831
7,Control,Male,5.478637908678906,5.6435904292478165
8,Control,Male,3.8474552118748875,8.06968684137179
9,Control,Male,3.136940145553204,3.943700539527748
10,Control,Male,2.745424129206955,7.3107303584455705
11,Control,Male,5.832397659072333,1.6106901442921484
12,Control,Male,3.5085779574369953,6.006985678335899
13,Control,Male,0.4774231728765468,8.658644583032647
14,Control,Male,3.1843540426434513,9.835216092035555
15,Control,Male,5.903963245856286,0.7936579037801572
16,Control,Female,1.4599338436279998,4.283472747009492
17,Control,Male,1.4036140491799403,2.0454285954642772
18,Control,Male,4.252410990734707,4.506364905187348
19,Control,Male,4.2546206967749285,5.47763572628854
20,Control,Male,5.0752076684105685,0.9332671036982076
21,Control,Male,6.795454352622317,2.9686077548067944
22,Control,Male,5.795642598885082,9.275842401521475
23,Control,Male,4.888188085420663,5.690037314301954
24,Control,Male,5.7795470605617725,4.574119975236119
25,Control,Female,2.5836713108254257,7.535259907981145
26,Control,Male,2.894309244978513,7.418621518420373
27,Control,Female,1.826105847031645,0.4857903284426879
28,Control,Male,2.349712371110635,7.08697395442746
29,Control,Male,5.047808990835902,8.392433478050837
30,Control,Male,0.7368395195606015,1.6593788420695388
31,Control,Male,3.469609381436226,7.809979379999573
32,Control,Male,3.4469021066371504,2.865366167291019
33,Control,Male,3.9494807812024497,3.064697533295573
34,Control,Male,3.406642322366624,6.65261465349683
35,Control,Female,2.4980897837797222,1.1139217160771575
36,Control,Male,3.4108104557024657,6.6487244880329435
37,Control,Male,7.147113304937078,8.878567926762226
38,Control,Male,7.553280145631037,6.963112682354064
39,Control,Female,4.0146934070746925,4.403278766654091
40,Control,Male,4.9916236143368895,4.382143843772247
41,Control,Male,0.9249471606343658,7.650960952393065
42,Control,Female,2.538283854562567,5.656420012258828
43,Control,Male,3.3186096956290543,0.8490416319181759
44,Control,Male,6.9304732630669275,5.826710878614047
45,Control,Male,2.0036429231720536,8.148437028934097
46,Control,Male,3.864274114101635,3.3706638344760997
47,Control,Male,7.88447828488564,9.275765795753895
48,Control,Male,4.155880954078475,7.507170003431679
49,Control,Male,4.903156206103741,5.740638251499645
50,Control,Male,0.9650293279225899,7.516439887929184
51,Control,Female,6.610726404054666,0.7914896073820521
52,Control,Male,4.824481027287419,8.593890756806115
53,Control,Male,4.360544051731719,8.21504113200558
54,Control,Male,2.7421106701944673,9.098716596102088
55,Control,Male,2.4329663122174727,1.2863119750938001
56,Control,Male,3.336177688197613,0.8178008709398521
57,Control,Male,5.450406126342373,1.3841557278158978
58,Control,Male,7.003654734361399,3.9937871010280013
59,Control,Male,4.083378699824089,4.243068610809919
60,Test,Male,7.685196480735906,7.811091893654528
61,Test,Male,7.10155586793549,5.611217748162526
62,Test,Male,7.374324514669199,6.006997506906854
63,Test,Male,7.722823356914774,9.058221741420109
64,Test,Female,8.896397063341801,7.339937870283747
65,Test,Male,3.5823649183270714,9.039691047418051
66,Test,Male,8.345779890103367,5.037131892723065
67,Test,Male,4.7056646217581175,7.757963629912028
68,Test,Female,4.359560724051396,9.65966074038339
69,Test,Male,7.007198702440311,7.9108772957293505
70,Test,Female,3.6699876162867096,6.030478637226371
71,Test,Male,9.197287783925976,8.588787811397788
72,Test,Male,7.390742804358881,6.894929248494588
73,Test,Male,8.063914507329685,8.3419197362973
74,Test,Male,3.1129044468651177,5.146598614468856
75,Test,Male,7.161023156115298,8.179501796756782
76,Test,Male,6.897496346760021,5.16098967468962
77,Test,Male,4.112717509013059,8.72390327570883
78,Test,Female,4.071493605873412,7.364565011192275
79,Test,Male,7.868706701396376,5.608771777365268
80,Test,Male,5.231364984673134,7.71317962894253
81,Test,Male,7.843792068722737,5.333872216125023
82,Test,Male,6.880682748024404,8.266824356765204
83,Test,Female,5.722654018862013,9.980431636839128
84,Test,Female,9.475927427297902,8.846986685369812
85,Test,Male,8.891689978389014,7.868870568294122
86,Test,Male,5.501782966782233,5.513176296053979
87,Test,Male,3.3051402465932838,8.499170373864573
88,Test,Female,5.133376513877682,8.305839336639655
89,Test,Male,5.787299773425866,5.245485653113882
90,Test,Male,7.934711813159535,8.961496509222954
91,Test,Male,9.967509374238123,7.5935829544525255
92,Test,Male,5.491404060022217,7.1293384709995955
93,Test,Male,8.337834696498037,8.940935868007328
94,Test,Female,7.152238415935548,7.057846116044185
95,Test,Male,7.84191259090124,7.405131377525768
96,Test,Male,4.057892166436561,5.908144213369123
97,Test,Male,5.792134049083096,6.606594497532143
98,Test,Male,4.685991284065372,9.227664982812843
99,Test,Male,5.4041920983382745,5.934518744633577
100,Test,Male,6.591897079393015,7.08645530451672
101,Test,Male,7.666371851148502,9.945172536976497
102,Test,Female,3.741359395397697,6.182999058527597
103,Test,Male,3.916264654648565,9.584161664694145
104,Test,Female,5.253864245278157,9.591987339028165
105,Test,Male,7.630950356663706,5.456481711016009
106,Test,Male,8.925543576895056,7.31826362442758
107,Test,Female,6.872801413576994,7.511081676613935
108,Test,Male,8.981167412671534,6.568344750260637
109,Test,Male,5.6938646789303275,5.236697686188685
110,Test,Male,5.217515279828659,6.208428186226989
111,Test,Male,5.47985272914175,5.477648207776805
112,Test,Female,4.197572804435693,6.191249528562059
113,Test,Female,8.803788441513234,9.03895543145078
114,Test,Male,5.370695921400286,9.474891439430058
115,Test,Male,6.866590527058512,5.216114460398234
116,Test,Male,7.049860276761831,6.509734181313595
117,Test,Male,6.650731415781326,9.902910992971439
118,Test,Male,3.018816452020245,7.697524112768677
119,Test,Male,9.91841793497974,8.131546808549281
